scope,n,judge_accuracy,f1,abstention_rate,context_overflow,mean_prompt_tokens,mean_completion_tokens,mean_cost_usd,mean_latency_s,evidence_recall,mean_retrieval_cost_usd
overall,1986,0.5287,0.5208,0.4366,0,1232.2054,6.2009,0.0002,0.658,0.8996,0.0
adversarial,446,0.9395,0.9417,0.9439,0,1216.6188,4.1143,0.0002,0.6422,0.87,0.0
multi_hop,282,0.2801,0.3511,0.1773,0,1270.5426,8.3085,0.0002,0.6569,0.8544,0.0
open_domain,96,0.1146,0.0884,0.7292,0,1252.4167,5.3125,0.0002,0.6413,0.7569,0.0
single_hop,841,0.5493,0.4609,0.2545,0,1228.2687,7.0535,0.0002,0.6765,0.9318,0.0
temporal,321,0.2461,0.3715,0.3489,0,1224.4517,5.2804,0.0002,0.638,0.9372,0.0
