scope,n,judge_accuracy,f1,f1_raw,abstention_rate,context_overflow,mean_prompt_tokens,mean_completion_tokens,mean_cost_usd,mean_latency_s,evidence_recall,evidence_recall_turn,evidence_recall_session,evidence_recall_hydrated,mean_retrieval_cost_usd
overall,1986,0.6244,0.598,0.5753,0.2472,0,4120.2608,44.6108,0.0009,1.5359,0.8291,0.8291,0.9604,0.8274,0.0
adversarial,446,0.7735,0.7747,0.7747,0.7735,0,4119.1121,42.4955,0.0009,1.2835,0.7601,0.7601,0.9417,0.7601,0.0
multi_hop,282,0.4362,0.445,0.4338,0.0532,0,4252.0993,76.7766,0.0009,1.7949,0.771,0.771,0.9328,0.7694,0.0
open_domain,96,0.25,0.1738,0.1667,0.5521,0,4146.6146,66.0104,0.0009,1.606,0.6648,0.6648,0.9064,0.6648,0.0
single_hop,841,0.7669,0.6389,0.5958,0.0476,0,4186.7812,34.3317,0.0009,1.6944,0.8783,0.8783,0.9782,0.8771,0.0
temporal,321,0.3209,0.5068,0.491,0.1184,0,3823.8754,39.8224,0.0008,1.2275,0.8943,0.8943,0.9795,0.8881,0.0
