scope,n,judge_accuracy,f1,f1_raw,abstention_rate,context_overflow,mean_prompt_tokens,mean_completion_tokens,mean_cost_usd,mean_latency_s,evidence_recall,evidence_recall_turn,evidence_recall_session,evidence_recall_hydrated,mean_retrieval_cost_usd
overall,1986,0.6631,0.6252,0.6252,0.2241,0,20848.4114,9.3394,0.0042,2.2555,,,,,
adversarial,446,0.7354,0.7327,0.7327,0.7332,0,20876.361,7.4596,0.0042,2.4174,,,,,
multi_hop,282,0.4504,0.484,0.484,0.0426,0,20812.844,11.9184,0.0042,2.2203,,,,,
open_domain,96,0.2812,0.1868,0.1868,0.4792,0,21020.3958,8.4688,0.0042,2.0547,,,,,
single_hop,841,0.8359,0.7056,0.7056,0.0202,0,21005.1141,9.7051,0.0042,2.042,,,,,
temporal,321,0.4112,0.5204,0.5204,0.134,0,20378.838,8.9875,0.0041,2.7072,,,,,
