scope,n,judge_accuracy,f1,f1_raw,abstention_rate,context_overflow,mean_prompt_tokens,mean_completion_tokens,mean_cost_usd,mean_latency_s,evidence_recall,evidence_recall_turn,evidence_recall_session,evidence_recall_hydrated,mean_retrieval_cost_usd
overall,1986,0.5816,0.5661,0.5489,0.2971,0,2020.9018,49.0166,0.0005,2.1715,0.8291,0.8291,0.9604,,0.0
adversarial,446,0.8206,0.8177,0.8177,0.8161,0,2006.6368,44.2758,0.0005,1.6357,0.7601,0.7601,0.9417,,0.0
multi_hop,282,0.3936,0.4199,0.4083,0.0674,0,2072.1879,82.7624,0.0005,1.8206,0.771,0.771,0.9328,,0.0
open_domain,96,0.1875,0.121,0.1203,0.6458,0,2026.1562,69.4062,0.0005,1.5661,0.6648,0.6648,0.9064,,0.0
single_hop,841,0.6706,0.5635,0.5311,0.1201,0,2063.654,41.5446,0.0005,3.0268,0.8783,0.8783,0.9782,,0.0
temporal,321,0.2991,0.4846,0.4739,0.1371,0,1882.0872,39.4361,0.0004,1.1921,0.8943,0.8943,0.9795,,0.0
