scope,n,judge_accuracy,f1,abstention_rate,context_overflow,mean_prompt_tokens,mean_completion_tokens,mean_cost_usd,mean_latency_s,evidence_recall,mean_retrieval_cost_usd
overall,1986,0.5398,0.5223,0.4109,0,2247.716,6.6067,0.0003,0.632,0.9698,0.0
adversarial,446,0.917,0.9193,0.9215,0,2236.1547,4.1592,0.0003,0.6148,0.9619,0.0
multi_hop,282,0.2908,0.3522,0.1454,0,2299.6738,8.9787,0.0004,0.6486,0.9444,0.0
open_domain,96,0.1146,0.0836,0.7083,0,2254.9688,5.3021,0.0003,0.6213,0.9047,0.0
single_hop,841,0.5743,0.4728,0.2271,0,2252.9227,7.7467,0.0003,0.6426,0.9853,0.0
temporal,321,0.271,0.3813,0.3271,0,2202.324,5.3271,0.0003,0.6173,0.981,0.0
