scope,n,judge_accuracy,f1,abstention_rate,context_overflow,mean_prompt_tokens,mean_completion_tokens,mean_cost_usd,mean_latency_s,evidence_recall,mean_retrieval_cost_usd
overall,1986,0.6244,0.578,0.3202,0,1748.1012,6.2689,0.0003,0.6761,0.8369,0.0
adversarial,446,0.8117,0.8139,0.8161,0,1778.1345,4.6099,0.0003,0.6441,0.9126,0.0
multi_hop,282,0.3191,0.3763,0.156,0,1779.2837,7.4504,0.0003,0.6805,0.6205,0.0
open_domain,96,0.1979,0.147,0.5833,0,1661.1875,5.0938,0.0003,0.686,0.5209,0.0
single_hop,841,0.7562,0.6469,0.0797,0,1750.4078,7.0654,0.0003,0.6954,0.9092,0.0
temporal,321,0.4143,0.3758,0.3271,0,1698.9283,5.8006,0.0003,0.6634,0.8232,0.0
