scope,n,judge_accuracy,f1,f1_raw,abstention_rate,context_overflow,mean_prompt_tokens,mean_completion_tokens,mean_cost_usd,mean_latency_s,evidence_recall,evidence_recall_turn,evidence_recall_session,evidence_recall_hydrated,mean_retrieval_cost_usd
overall,1986,0.6183,0.5872,0.5553,0.2865,0,4661.718,11.4728,0.0009,1.4606,0.8091,0.8091,0.9526,0.8091,0.0
adversarial,446,0.8341,0.8363,0.8363,0.8386,0,4663.5919,7.7444,0.0009,1.832,0.7074,0.7074,0.935,0.7074,0.0
multi_hop,282,0.4184,0.4214,0.3975,0.0674,0,4763.1241,15.0355,0.001,1.2475,0.7754,0.7754,0.9312,0.7754,0.0
open_domain,96,0.2188,0.1594,0.1544,0.5208,0,4630.7917,10.3021,0.0009,1.1469,0.6591,0.6591,0.8646,0.6591,0.0
single_hop,841,0.7408,0.6129,0.5504,0.0832,0,4698.3662,13.1891,0.001,1.5208,0.8557,0.8557,0.9734,0.8557,0.0
temporal,321,0.2928,0.4474,0.4364,0.1745,0,4483.2617,9.3769,0.0009,1.0709,0.9008,0.9008,0.9663,0.9008,0.0
