scope,n,judge_accuracy,f1,f1_raw,abstention_rate,context_overflow,mean_prompt_tokens,mean_completion_tokens,mean_cost_usd,mean_latency_s,evidence_recall,evidence_recall_turn,evidence_recall_session,evidence_recall_hydrated,mean_retrieval_cost_usd
overall,1986,0.5342,0.5281,0.5281,0.3968,0,1181.3882,8.2608,0.0002,1.0462,0.9,,,,0.0
adversarial,446,0.8879,0.8901,0.8901,0.8924,0,1157.3206,7.0717,0.0002,0.8217,0.8677,,,,0.0
multi_hop,282,0.3333,0.3501,0.3501,0.1489,0,1214.4965,10.1277,0.0003,0.9944,0.8541,,,,0.0
open_domain,96,0.1562,0.1063,0.1063,0.6458,0,1167.7396,8.1979,0.0002,2.1627,0.7663,,,,0.0
single_hop,841,0.5791,0.4911,0.4911,0.2473,0,1200.5898,8.2759,0.0003,1.0883,0.9318,,,,0.0
temporal,321,0.215,0.4044,0.4044,0.243,0,1139.5171,8.2523,0.0002,0.9604,0.9403,,,,0.0
